citing_id,cited_id
1322,2686
1322,4351
1322,2889
1322,5070
1322,2797
1322,5260
1323,5270
1323,2192
1323,5226
1323,4577
1323,744
1323,1856
1324,2048
1324,5618
1324,3875
1324,1179
1324,1180
1324,1133
1324,1660
1324,2331
1324,1231
1324,4809
1324,2435
1324,2437
1324,2528
1324,1523
1324,2257
1324,1143
1324,1770
1324,1238
1324,2494
1324,2261
1324,1579
1324,2007
1324,4031
1324,1971
1324,1626
1324,1199
1324,2017
1324,1403
1324,1792
1324,1222
1325,2192
1325,2242
1325,1659
1325,1470
1326,2144
1326,2097
1326,1418
1326,2245
1326,1952
1326,3015
1326,1904
1326,2532
1327,1468
1328,5227
1328,2243
1328,5445
1328,1758
1328,1659
1328,1806
1328,1325
1328,1811
1328,842
1328,1483
1328,1209
1328,2034
1329,2192
1329,2381
1329,5489
1329,1760
1330,298
1330,935
1330,1804
1330,2432
1330,2247
1330,2574
1330,264
1330,1953
1330,2103
1330,1239
1330,2500
1330,2410
1331,2292
1331,2479
1331,2338
1331,2205
1331,2299
1332,2193
1332,1660
1332,2395
1332,1540
1332,1642
1332,4463
1333,397
1333,5227
1333,5401
1333,1325
1333,1470
1333,1286
1333,2514
1334,153
1334,1949
1334,3215
1334,3036
1334,1296
1334,2180
1335,5270
1335,2192
1335,2193
1335,2382
1335,1854
1335,2477
1335,1856
1335,2149
1335,2386
1335,24
1335,2160
1336,3448
1336,2002
1337,2216
1338,3447
1338,2144
1338,1707
1338,2196
1338,2097
1338,1708
1338,1418
1338,1419
1338,1999
1338,2342
1338,2776
1338,2359
1340,5270
1340,1707
1340,1904
1340,3311
1340,2339
1340,2535
1340,2348
1340,2978
1340,2636
1340,2445
1340,2446
1340,2783
1340,2925
1340,2009
1341,3302
1341,5858
1341,3891
1341,3215
1341,4538
1341,2225
1342,1861
1342,170
1342,1765
1342,756
1343,5950
1343,2290
1343,2144
1343,1707
1343,2196
1343,2097
1343,1708
1343,1419
1343,1956
1343,2532
1344,1612
1344,1718
1344,1435
1344,1644
1344,1697
1345,1468
1345,1280
1345,1768
1345,1671
1346,2151
1346,2299
1346,753
1346,514
1346,2313
1346,2185
1347,4857
1347,2435
1347,2002
1347,4073
1347,3265
1347,2350
1347,2450
1348,1417
1348,3311
1348,2339
1348,2343
1348,2535
1348,2348
1348,2304
1348,2783
1350,2331
1350,1865
1350,1812
1350,1484
1351,397
1351,5401
1351,1325
1351,1470
1351,2155
1351,1282
1351,1286
1351,2514
1352,1179
1352,2435
1352,1488
1352,2079
1353,5270
1353,1660
1353,2061
1353,2465
1354,2479
1354,1712
1354,1823
1354,2225
1355,1812
1355,1484
1355,2310
1356,1423
1356,1485
1356,1486
1356,1489
1356,2126
1356,1449
1356,1840
1357,2162
1358,4949
1358,2146
1358,1466
1358,2148
1358,2052
1358,1233
1358,121
1358,1661
1358,4439
1358,3019
1358,2343
1358,3973
1358,1190
1358,1424
1358,2262
1358,3847
1358,1622
1358,1245
1358,2212
1358,1677
1358,1827
1358,2084
1358,1734
1358,1746
1359,5950
1359,2290
1359,2144
1359,2097
1359,1999
1359,1611
1359,3595
1359,1956
1359,3161
1359,2532
1359,2581
1359,1967
1359,3473
1359,1781
1360,5948
1360,935
1360,1657
1360,2244
1360,1953
1360,318
1360,166
1360,1253
1363,2381
1363,1423
1363,1478
1363,1485
1363,1486
1364,1809
1364,1525
1364,4220
1365,5270
1365,5226
1365,2290
1365,1417
1365,2914
1365,2773
1365,1154
1366,1766
1366,1717
1367,5944
1367,2
1367,5954
1367,1038
1367,1861
1367,1486
1367,4220
1367,1295
1367,1459
1368,5270
1368,2192
1368,5401
1368,4110
1368,3257
1368,1135
1368,2399
1368,2278
1369,2048
