	doi	registration_agency
414	10.1002/2015WR018457	Crossref
415	10.1016/j.ecolecon.2014.07.011	Crossref
416	10.1016/j.envdev.2013.05.007	Crossref
417	10.1016/j.coldregions.2015.10.010	Crossref
418	10.5194/tc-12-759-2018	Crossref
419	10.1016/j.scitotenv.2013.11.122	Crossref
420	10.1016/j.scitotenv.2016.07.146	Crossref
421	10.1016/j.earscirev.2012.03.008	Crossref
422	10.1371/journal.pone.0215243	Crossref
423	10.1177/0022343311425843	Crossref
424	10.1659/0276-4741(2006)26[304:SMTAT]2.0.CO;2	Resource not found
425	10.1017/jog.2019.32	Crossref
426	10.3189/2014JoG13J134	Crossref
427	10.1038/s41598-017-15473-8	Crossref
428	10.1175/JAMC-D-17-0276.1	Crossref
430	10.5194/bg-2019-89-SC1	Crossref
431	10.1558/jga.v2i1.27719	Crossref
432	10.1016/S0921-8181(02)00130-3	Crossref
433	10.33799/jokull2008.58.365	Crossref
434	10.1002/grl.50278	Crossref
435	10.2307/3673731	Crossref
436	10.1002/2013JF002931	Crossref
437	10.1016/j.advwatres.2014.04.017	Crossref
438	10.1080/02508060.2017.1376568	Crossref
439	10.1657/1938-4246-46.4.987	Crossref
440	10.1002/ppp.1887	Crossref
441	10.1016/j.geomorph.2010.02.016	Crossref
442	10.1002/ppp.665	Crossref
443	10.5194/tc-6-807-2012	Crossref
444	10.1021/es903007h	Crossref
445	10.5194/tc-11-531-2017	Crossref
446	10.1007/978-3-319-92288-1_7	Crossref
447	10.1002/ppp.679	Crossref
448	10.1175/2008JCLI2397.1	Crossref
449	10.1007/s10584-010-9818-5	Crossref
450	10.1002/ppp.1733	Crossref
451	10.1038/s41558-018-0318-3	Crossref
452	10.1175/JHM-D-12-098.1	Crossref
453	10.1029/2018EF001139	Crossref
454	10.1080/07011784.2016.1268933	Crossref
455	10.1007/978-3-319-42922-9_3	Crossref
456	10.1038/s41558-018-0375-7	Crossref
457	10.1525/9780520934245-015	Crossref
458	10.4067/S0718-34022010000300008	Crossref
459	10.1038/s41467-017-00095-5	Crossref
460	10.1111/j.1365-2486.2007.01341.x	Crossref
461	10.1038/s41559-017-0426-x	Crossref
462	10.1016/j.emospa.2012.05.001	Crossref
463	10.1038/ngeo2999	Crossref
464	10.1016/j.scitotenv.2019.02.169	Crossref
465	10.2136/vzj2012.0067	Crossref
466	10.1016/j.gloplacha.2018.03.003	Crossref
467	10.1002/ecs2.1761	Crossref
468	10.1016/j.rse.2013.08.026	Crossref
469	10.1080/00045608.2013.754665	Crossref
470	10.1007/s10584-010-9870-1	Crossref
471	10.1029/2011WR011755	Crossref
472	10.1088/1748-9326/aa926c	Crossref
473	10.1029/2018JD028993	Crossref
474	10.1016/j.quaint.2015.10.067	Crossref
475	10.1111/gcb.13614	Crossref
476	10.1029/2018JD028442	Crossref
477	10.1002/hyp.9612	Crossref
478	10.1016/j.gloplacha.2004.10.007	Crossref
479	10.1016/j.jhydrol.2013.11.006	Crossref
480	10.1016/j.jhg.2011.12.002	Crossref
481	10.1080/24694452.2016.1243039	Crossref
482	10.1016/j.quascirev.2013.01.023	Crossref
483	10.1016/j.gloplacha.2016.07.001	Crossref
484	10.1093/jaarel/lfs024	Crossref
485	10.5194/tc-8-1673-2014	Crossref
486	10.1038/ncomms12025	Crossref
487	10.1002/joc.2260	Crossref
488	10.1038/nclimate3262	Crossref
489	10.1061/(ASCE)CR.1943-5495.0000165	Crossref
490	10.1038/srep35458	Crossref
491	10.1088/1748-9326/9/11/114015	Crossref
492	10.1007/s10113-010-0177-6	Crossref
493	10.1002/ppp.687	Crossref
494	10.1080/2150704X.2017.1295480	Crossref
495	10.1038/ngeo2407	Crossref
496	10.1080/01426397.2016.1172559	Crossref
497	10.1080/17565529.2016.1167664	Crossref
498	10.1201/9781315387789-3	Crossref
499	10.1007/s10346-017-0879-7	Crossref
500	10.1002/2015GL065320	Crossref
501	10.1016/j.gloplacha.2017.11.017	Crossref
502	10.3390/w9050336	Crossref
503	10.1002/2014WR016228	Crossref
504	10.1659/MRD-JOURNAL-D-13-00013.1	Crossref
505	10.1016/j.scitotenv.2014.03.003	Crossref
506	10.1680/jwama.16.00129	Crossref
507	10.1038/ncomms15399	Crossref
508	10.3390/w9080591	Crossref
509	10.5194/tc-7-419-2013	Crossref
511	10.1002/jqs.954	Crossref
512	10.1007/s11104-016-3165-x	Crossref
513	10.3112/erdkunde.2010.04.05	Crossref
514	10.1007/s12571-011-0127-2	Crossref
515	10.1016/j.cliser.2016.07.003	Crossref
516	10.1016/j.envdev.2017.10.001	Crossref
517	10.1126/sciadv.aaq0942	Crossref
518	10.5194/tc-10-977-2016	Crossref
519	10.1016/j.tourman.2012.07.009	Crossref
520	10.3389/fpls.2018.01586	Crossref
521	10.1002/2017GL076158	Crossref
522	10.5194/hess-17-4401-2013	Crossref
523	10.1038/s41561-018-0271-9	Crossref
524	10.5194/gh-65-135-2010	Crossref
525	10.1016/j.quascirev.2008.09.025	Crossref
526	10.1016/B978-0-12-394849-6.00015-9	Crossref
