Source,Target,Type,Id,Label,Weight
107,3987,Directed,579983,,1
107,3986,Directed,579982,,3
107,3985,Directed,579981,,2
107,3984,Directed,579980,,1
107,3982,Directed,579979,,4
107,3981,Directed,579978,,1
107,3978,Directed,579977,,1
107,3977,Directed,579976,,1
107,3976,Directed,579975,,1
107,3975,Directed,579974,,1
107,3973,Directed,579973,,11
107,3969,Directed,579972,,7
107,3966,Directed,579971,,2
107,3944,Directed,579970,,1
107,3925,Directed,579968,,2
107,3923,Directed,579967,,7
107,3908,Directed,579966,,2
107,3901,Directed,579965,,2
107,3897,Directed,579964,,1
107,3895,Directed,579963,,1
107,3893,Directed,579962,,1
107,3892,Directed,579961,,2
107,3891,Directed,579960,,1
107,3885,Directed,579959,,2
107,3883,Directed,579958,,1
107,3882,Directed,579957,,1
107,3875,Directed,579956,,17
107,3868,Directed,579955,,1
107,3859,Directed,579954,,1
107,3855,Directed,579953,,1
107,3846,Directed,579951,,3
107,3842,Directed,579950,,1
107,3841,Directed,579949,,3
107,3840,Directed,579948,,4
107,3839,Directed,579947,,2
107,3838,Directed,579946,,4
107,3835,Directed,579945,,1
107,3833,Directed,579944,,2
107,3831,Directed,579943,,1
107,3830,Directed,579942,,2
107,3789,Directed,579940,,1
107,3786,Directed,579939,,1
107,3782,Directed,579938,,1
107,3743,Directed,579936,,1
107,3739,Directed,579935,,5
107,3737,Directed,579934,,1
107,3735,Directed,579933,,5
107,3712,Directed,579932,,2
107,3656,Directed,579929,,1
107,3621,Directed,579926,,1
107,3552,Directed,579923,,1
107,3534,Directed,579921,,1
107,3498,Directed,579920,,1
107,3494,Directed,579919,,1
107,3408,Directed,579916,,1
107,3369,Directed,579913,,1
107,3363,Directed,579912,,2
107,3220,Directed,579904,,1
107,3157,Directed,579897,,1
107,3026,Directed,579888,,1
107,3016,Directed,579886,,5
107,3007,Directed,579884,,11
107,2989,Directed,579883,,1
107,2928,Directed,579879,,1
107,2913,Directed,579878,,1
107,2865,Directed,579875,,5
107,2743,Directed,579870,,1
107,2718,Directed,579866,,2
107,2697,Directed,579863,,1
107,2638,Directed,579858,,1
107,2633,Directed,579856,,1
107,2621,Directed,579855,,1
107,2572,Directed,579853,,1
107,2388,Directed,579848,,3
107,2361,Directed,579847,,1
107,2227,Directed,579843,,1
107,1966,Directed,579834,,4
107,1962,Directed,579833,,1
107,1951,Directed,579831,,2
107,1827,Directed,579829,,1
107,1825,Directed,579828,,3
107,1734,Directed,579826,,1
107,1725,Directed,579825,,1
107,1682,Directed,579824,,2
107,1681,Directed,579823,,1
107,1675,Directed,579821,,1
107,1664,Directed,579820,,1
107,1339,Directed,579811,,1
107,1304,Directed,579809,,1
107,1274,Directed,579808,,1
107,886,Directed,579804,,2
107,316,Directed,579799,,1
107,315,Directed,579798,,4
107,307,Directed,579797,,4
107,276,Directed,579793,,1
107,270,Directed,579792,,7
107,265,Directed,579790,,1
107,262,Directed,579789,,2
107,258,Directed,579787,,1
107,255,Directed,579786,,4
107,249,Directed,579784,,1
107,237,Directed,579783,,1
107,232,Directed,579782,,1
107,224,Directed,579781,,1
107,205,Directed,579778,,2
107,202,Directed,579777,,1
107,167,Directed,579772,,1
107,160,Directed,579770,,1
107,149,Directed,579766,,1
107,132,Directed,579764,,1
107,131,Directed,579763,,4
107,128,Directed,579762,,6
107,124,Directed,579761,,1
107,123,Directed,579760,,1
107,122,Directed,579759,,1
107,115,Directed,579757,,3
107,110,Directed,579756,,1
107,91,Directed,579755,,2
107,39,Directed,579747,,4
107,28,Directed,579744,,2
107,17,Directed,579743,,9
107,9,Directed,579741,,1
5173,107,Directed,740389,,1
5100,107,Directed,739564,,1
5061,107,Directed,739109,,1
5057,107,Directed,739069,,1
4980,107,Directed,738316,,1
4978,107,Directed,738293,,1
4968,107,Directed,738158,,1
4819,107,Directed,736071,,1
4720,107,Directed,734611,,1
4630,107,Directed,733251,,1
4558,107,Directed,732217,,1
4547,107,Directed,732062,,1
4464,107,Directed,730428,,1
4426,107,Directed,729434,,1
4407,107,Directed,729233,,1
4375,107,Directed,728241,,1
4301,107,Directed,726934,,1
4290,107,Directed,726512,,1
4287,107,Directed,726477,,1
4186,107,Directed,724187,,1
4120,107,Directed,722728,,1
4068,107,Directed,721388,,1
4056,107,Directed,720740,,1
4050,107,Directed,720678,,1
4002,107,Directed,719527,,1
3999,107,Directed,719487,,1
3973,107,Directed,718591,,1
3882,107,Directed,716406,,1
3868,107,Directed,715630,,1
3803,107,Directed,714091,,1
3751,107,Directed,713046,,1
3743,107,Directed,712857,,1
3369,107,Directed,704149,,1
2885,107,Directed,684929,,1
1734,107,Directed,640030,,1
1675,107,Directed,637246,,1
1674,107,Directed,637224,,1
1507,107,Directed,628885,,1
255,107,Directed,588882,,1
224,107,Directed,587871,,1
215,107,Directed,587673,,1
132,107,Directed,582516,,1
128,107,Directed,582113,,1
