source,target,weight,type
112,1708,1,undirected
112,1777,1,undirected
112,116,1,undirected
112,2864,1,undirected
112,202,1,undirected
112,5950,1,undirected
112,2290,1,undirected
112,2194,1,undirected
112,303,1,undirected
112,5090,1,undirected
112,2144,1,undirected
112,5619,1,undirected
112,5362,1,undirected
112,2196,1,undirected
112,2097,1,undirected
112,2869,1,undirected
112,3109,1,undirected
112,309,1,undirected
112,2147,1,undirected
112,3011,1,undirected
112,111,1,undirected
112,2245,1,undirected
112,3307,1,undirected
112,1231,1,undirected
112,2199,1,undirected
112,3117,1,undirected
112,1232,1,undirected
112,4857,1,undirected
112,353,1,undirected
112,2201,1,undirected
112,2484,1,undirected
112,5405,1,undirected
112,2057,1,undirected
112,3454,1,undirected
112,2387,1,undirected
112,3650,1,undirected
112,2154,1,undirected
112,2491,1,undirected
112,3264,1,undirected
112,5329,1,undirected
112,2397,1,undirected
112,1106,1,undirected
112,1211,1,undirected
112,1267,1,undirected
113,5270,1,undirected
113,644,1,undirected
113,306,1,undirected
113,187,1,undirected
114,2192,1,undirected
114,4108,1,undirected
114,5184,1,undirected
114,4246,1,undirected
114,5093,1,undirected
114,4581,1,undirected
114,3881,1,undirected
114,5629,1,undirected
114,127,1,undirected
115,299,1,undirected
115,3873,1,undirected
115,249,1,undirected
115,4430,1,undirected
115,5577,1,undirected
115,4717,1,undirected
115,5579,1,undirected
115,5530,1,undirected
115,4857,1,undirected
115,4959,1,undirected
115,3016,1,undirected
115,4390,1,undirected
115,1966,1,undirected
115,3986,1,undirected
116,1084,1,undirected
116,2298,1,undirected
117,1419,1,undirected
117,1526,1,undirected
117,1707,1,undirected
117,5950,1,undirected
117,2144,1,undirected
117,3448,1,undirected
117,2196,1,undirected
117,2097,1,undirected
117,3011,1,undirected
117,2245,1,undirected
117,2199,1,undirected
117,3691,1,undirected
117,3354,1,undirected
117,3159,1,undirected
117,2677,1,undirected
117,3598,1,undirected
117,2532,1,undirected
117,3462,1,undirected
117,2776,1,undirected
117,3179,1,undirected
117,3037,1,undirected
118,406,1,undirected
118,1370,1,undirected
118,1371,1,undirected
118,1418,1,undirected
118,1420,1,undirected
118,1517,1,undirected
118,1526,1,undirected
118,1611,1,undirected
118,1707,1,undirected
118,23,1,undirected
118,117,1,undirected
118,199,1,undirected
118,5950,1,undirected
118,2290,1,undirected
118,2194,1,undirected
118,5316,1,undirected
118,2429,1,undirected
118,5185,1,undirected
118,1998,1,undirected
118,2196,1,undirected
118,3640,1,undirected
118,649,1,undirected
118,2914,1,undirected
118,3451,1,undirected
118,2434,1,undirected
118,3595,1,undirected
118,5493,1,undirected
118,3691,1,undirected
118,2437,1,undirected
118,1956,1,undirected
118,1276,1,undirected
118,3499,1,undirected
118,3597,1,undirected
118,2491,1,undirected
118,5143,1,undirected
118,2825,1,undirected
118,3123,1,undirected
118,2257,1,undirected
118,1238,1,undirected
118,2977,1,undirected
118,2636,1,undirected
118,1967,1,undirected
118,3508,1,undirected
118,2496,1,undirected
118,2107,1,undirected
118,3511,1,undirected
118,2925,1,undirected
118,849,1,undirected
118,1250,1,undirected
118,3670,1,undirected
118,2035,1,undirected
119,3302,1,undirected
119,2964,1,undirected
119,5497,1,undirected
119,5412,1,undirected
120,6,1,undirected
120,4291,1,undirected
120,4299,1,undirected
121,1375,1,undirected
121,1486,1,undirected
121,1489,1,undirected
121,27,1,undirected
121,64,1,undirected
121,176,1,undirected
121,5858,1,undirected
121,217,1,undirected
121,1476,1,undirected
121,2104,1,undirected
121,3215,1,undirected
121,230,1,undirected
122,1370,1,undirected
122,1677,1,undirected
122,39,1,undirected
122,106,1,undirected
122,132,1,undirected
122,299,1,undirected
122,3007,1,undirected
122,4576,1,undirected
122,5399,1,undirected
122,4200,1,undirected
122,5400,1,undirected
122,4382,1,undirected
122,3875,1,undirected
122,107,1,undirected
122,4479,1,undirected
122,307,1,undirected
122,4111,1,undirected
122,3780,1,undirected
122,4528,1,undirected
122,5043,1,undirected
122,3833,1,undirected
122,4953,1,undirected
122,4721,1,undirected
122,5045,1,undirected
122,255,1,undirected
122,4068,1,undirected
122,2913,1,undirected
122,4765,1,undirected
122,4530,1,undirected
122,5048,1,undirected
122,5049,1,undirected
122,3882,1,undirected
122,4963,1,undirected
122,3498,1,undirected
122,4811,1,undirected
122,3973,1,undirected
122,5100,1,undirected
122,3743,1,undirected
122,2638,1,undirected
122,4872,1,undirected
122,4544,1,undirected
122,4546,1,undirected
122,4785,1,undirected
122,3712,1,undirected
122,4407,1,undirected
122,4558,1,undirected
122,4320,1,undirected
122,4002,1,undirected
122,4056,1,undirected
122,5180,1,undirected
123,305,1,undirected
123,4977,1,undirected
